url,label,url_length,num_dots,num_hyphens,num_at,num_digits,num_params,num_slashes,num_question,num_percent,num_special,domain_length,path_length,has_https,has_http,has_suspicious_kw
mp3raid.com/music/krizz_kaliko.html,benign,35,2,0,0,1,0,2,0,0,1,0,35,0,0,0
bopsecrets.org/rexroth/cr/1.htm,benign,31,2,0,0,1,0,3,0,0,0,0,31,0,0,0
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,118,2,16,0,1,0,5,0,0,0,11,100,0,1,0
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,45,2,1,0,4,0,6,0,0,1,0,45,0,0,0
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,46,1,2,0,0,1,1,1,0,2,0,19,0,0,0
allmusic.com/album/crazy-from-the-heat-r16990,benign,45,1,4,0,5,0,2,0,0,0,0,45,0,0,0
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,62,2,3,0,7,0,3,0,0,0,0,62,0,0,0
myspace.com/video/vid/30602581,benign,30,1,0,0,8,0,3,0,0,0,0,30,0,0,0
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,44,3,0,0,0,0,3,0,0,1,0,44,0,0,0
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,52,2,0,0,7,2,1,1,0,4,0,29,0,0,0
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,46,2,1,0,7,0,5,0,0,0,0,46,0,0,0
baseball-reference.com/players/h/harrige01.shtml,benign,48,2,1,0,2,0,3,0,0,0,0,48,0,0,0
192.com/atoz/people/oakley/patrick/,benign,35,1,0,0,3,0,5,0,0,0,0,35,0,0,0
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,83,2,6,0,8,0,5,0,0,0,0,83,0,0,0
escholarship.org/uc/item/5xt4952c,benign,33,1,0,0,5,0,3,0,0,0,0,33,0,0,0
songfacts.com/detail.php?id=13410,benign,33,2,0,0,5,1,1,1,0,2,0,24,0,0,0
casamanana.org/education/blba/,benign,30,1,0,0,0,0,3,0,0,0,0,30,0,0,0
